Group Pattern,Confidence,Company Code,Vendor,value,Amount Overbooked,Group Contains,Date,Group UUID,Region,Description,Payment Method,Special Intructions,reference,,,
similar vendor, Medium,3000,Revenue Quebec,9919.747019,4922.717211,All Open,3/8/2025,ac00f2a24da24d43295fbf3734c93efe30f51c4f0d7ecbcf496192eaefbba995,West,Digital Strategy Consulting,Cash,,Inv-5745,,,
similar description, Medium,3000,Multiple,1200,600,All Open,3/4/2025,23689941a41b20b6096ab0f8bd2eed957d3e345762826739c7a0ffd2d1b2bf26,East,Ecological Survey Services,Bank Transfer,,Inv-4873,,,
exact, Medium,3000,Jack Douglas,1200,600,All Open,2/11/2025,a79a146727ac5cc1c7d023c116afbae66bc94bafd4cddef4530f230d36c37568,East,Edible Landscaping,Bank Transfer,,Inv-8056,,,
similar vendor, Medium,3000,Multiple,1200,600,All Open,2/19/2025,b5c048470ac8e07f51b1e03e7b30be40ae798a30a47072a32853cdc155e54647,South,Electrical Design Services,PayPal,Security fees are included,Inv-9824,,,
similar region, Medium,3000,Tucker Industries,1041.798082,520.8990411,All Open,1/12/2025,f594f4b0333e9a0f9fb28a537c7886c2750f699ed188163e81305dce613b5fbc,South,Energy Audit Services,Bank Transfer,,Inv-2807,,,
similar date,  Low,3000,Chris Winter,22645.25196,11313.62598,All Cleared,1/24/2025,fa1369db20b5c20f78f62c8c464b0b7f90cdfad7650c66df7ceff02ae4b25dbd,North,Engineering Consultation,PayPal,Toll charges are included,Inv-4671,,,
exact,  Low,3000,Aztec Supplies,16259.45105,8124.067182,All Open,1/16/2025,e0184462dcc41a4c54c717947c0e31220f7d230272dc6c216d0ca199a7678953,West,Environmental Compliance Services,Bank Transfer,,Inv-6625,,,
unique,  Low,3000,Chris Winter,14251.47503,7116.338919,All Cleared,3/9/2025,8a786c997ee0352a1719a3a9ffdd366811615f2ad6feb9887fc3eabbc3773c5d,North,Environmental Impact Assessment,Cash,Storage fees are included,Inv-8190,,,
similar value,  Low,3000,CET New York,13161.63691,6557.223475,All Open,4/5/2025,7b84dc1c952f5385d9370f1feb5b8bd0fbac42b44d609ec2df38656391963014,West,Environmental Monitoring,Credit Card,,Inv-694,,,
similar payment_method,  Low,3000,Miller Company Inc.,11900.80113,5934.596595,All Open,1/10/2025,c755625a6f08e1501e3ed6e9c4758f7f7b876a193b14639c7567a099f6196277,North,Farm Management Services,PayPal,Cleaning fees are included,Inv-5046,,,
similar special_instructions,  Low,3000,Wilhelm Klein,10858.64102,5414.60161,All Open,2/20/2025,fabda66524b880c02b5dad4f7396bff110559ec9b143413351a346681d52029b,West,Farmer's Market Management,Bank Transfer,,Inv-5371,,,
similar reference,  Low,3000,CAFS Chemicals & Pharmaceuticals,10615.48237,5298.167594,All Open,2/27/2025,8806f488ab4e4502cdee645f31e17d2afbe3b01f4c83f7bd0a2b064eae05e001,West,Fish Farming Consultation,PayPal,Utilities charges are included,Inv-7030,,,
unique,  Low,3000,Abbot Supplies Inc.,10494.88812,5231.468652,All Open,4/4/2025,771e06cc39fcc5bf76a4f2783a27b30507e46c2acb5b1737b9c9363daa6cc674,East,Fisheries Management,Credit Card,,Inv-1621,,,
similar description,  Low,3000,"eSupplier, Inc",10375.97105,5152.849983,All Open,1/16/2025,ce3fa1fc332040d22d4d9ec1e5e76de1fd63fdf6ca82f39b707a510cee264278,North,Fishery Certification Services,Credit Card,Customs duties are included,Inv-2229,,,
similar value,  Low,3000,Global Business Properties,10338.61069,5148.460198,All Cleared,1/26/2025,59add55a6f9bfd3bee91ad02f5a57638aa03ae9fef2db39427acf28c6a82062e,East,Flood Risk Assessment,PayPal,,Inv-8721,,,
exact,  Low,3000,Global Business Properties,10325.14998,5130.78914,All Cleared,3/6/2025,82ebfd0be15c7961570ebf99bc38bd7aea0c46c5f51ef38e96dfa3f0c49ab69e,West,Food Cooperative Setup,Bank Transfer,Import/export fees are included,Inv-2484,,,
similar special_instructions,  Low,3000,PAQ Deutschland GmbH,10298.24322,5110.043277,All Open,2/28/2025,babfab52240577e8c4a712217e069567c1ffdf1ac184d4d67e67b606c4b06c21,West,Food Security Planning,Cash,,Inv-6157,,,
unique,  Low,3000,Canada Customs & Revenue Agency,10296.55966,5130.819088,All Open,4/9/2025,b8a0070197986b02af1844f63fce0ebab846e0e8a049f924dcdfbef338b468db,South,Food Waste Reduction Programs,PayPal,Translation fees are included,Inv-8594,,,
similar payment_method,  Low,3000,Abbot Supplies Inc.,10277.56679,5119.883422,All Open,2/6/2025,12bf69969fbe2ca25228a10ba1aa0fafe84e2abfabe2db5acba6a6c4280056d0,East,Forestry Consultation,Cash,,Inv-3916,,,
similar vendor,  Low,3000,Global Business Properties,10241.70223,5098.453236,All Cleared,2/18/2025,e2a7b7e9e931e78b58ad4d9ade7f7b2ae81c6370db9adefa50a54417cee633eb,West,Green Building Certification,Bank Transfer,,Inv-1155,,,
similar description,  Low,3000,WCB - Nova Scotia,10237.81685,5098.453236,All Open,2/1/2025,472444c52757d6dd125d26164867f1646445ef07770d436a7a6584ea534701ff,West,Greenhouse Construction,PayPal,,Inv-9351,,,
similar value,  Low,3000,Carole B,10060.10803,5018.755142,All Open,4/9/2025,a3e06b9d9cba1e870a87b5995f4c299759266e7cc4e6a8eefc4db405b3616392,South,Hazardous Waste Disposal,Cash,,Inv-9122,,,
similar reference,  Low,3000,Manhattan Corporation,10044.94109,4982.603719,All Open,2/17/2025,1174969926d452536a367d8969fb71c078c5545c868d0f2fa517f0c1d0317c4f,West,Hydrogeology Services,Bank Transfer,,Inv-1625,,,
exact,  Low,3000,Global Business Properties,10023.54828,4990.721424,All Cleared,2/15/2025,a4ee2d09c3c8d7c62e3b33837fcbaca89d5c8499198c3f05ef0909298cb94448,South,Hydropower Solutions,Cash,,Inv-3983,,,
similar reference,  Low,3000,Aztec Supplies,9862.796607,4925.018925,All Cleared,3/18/2025,87615c295f4ffba3dca791706496ec8b8cb396cb4d7122f2d875b53aa24e9d0e,West,Industrial Design Services,PayPal,,Inv-502,,,
similar reference,  Low,3000,WCB - Saskatchewan,9543.06602,4738.169425,All Open,3/14/2025,a11c17426dfb96d71f865a105e55fdae4b194efb02ba4dba03350b542b07215f,East,Influencer Collaboration Fees,Cash,,Inv-8456,,,
similar special_instructions,  Low,3000,Global Business Properties,8982.568612,4451.615933,Open/Cleared,3/13/2025,f1a112346346c1f55afb558a08e996455978c0f2bb074b46fd14cd31767f159b,South,Interior Design Consultation,Cash,Service Agreement: Service agreement is attached,Inv-2148,,,
similar description,  Low,3000,Miller Company Inc.,8461.30488,4207.957838,All Open,1/28/2025,fbbf41fefe3d26bce3fb7f55f59e0c36f989aff88ff8b10ba02aea0ace045ad6,East,Irrigation System Design,Credit Card,,Inv-7239,,,
similar special_instructions,  Low,3000,WCB - Ontario,1800,1200,All Open,4/2/2025,904205743b5b9436b32c4e2b3df7560c326bbaa63d24604330025c0b58a8aaae,North,Landscape Design Services,Credit Card,Property Access: Property access is required for service completion,Inv-2865,,,
similar value,  Low,3000,Multiple,1800,1200,All Open,3/16/2025,b47c8036309bba5657ff2a9739436aa43e9536ca3d1c286956f7c75d7d87a4ed,North,Livestock Management Services,Credit Card,,Inv-8948,,,
similar value,  Low,3000,Multiple,1800,1200,All Open,4/9/2025,ce87371f30436cc6775a80e6ff5edf1f27af800f3047541f6cb526008ab97459,South,Local Food Systems Development,PayPal,Service Schedule: Service schedule is attached for your reference,Inv-9559,,,
similar value,  Low,3000,Multiple,1720.899041,1120.899041,All Open,4/3/2025,c442dfedf60446f1e41ff7d968ad46eac6d8166791e99048619feb3377ca79ab,West,Marine Biology Research,Credit Card,,Inv-9208,,,
similar value,  Low,3000,Multiple,1720.899041,1120.899041,All Open,3/19/2025,d23666a64f2872193d465ed9e3239d82c04f43aba763756097d6a2c2c0f03069,West,Marine Conservation Programs,Bank Transfer,Usage Limits: Usage limits apply as per the agreement,Inv-8942,,,
unique,  Low,3000,WCB - New Brunswick,1716.485173,858.2425864,All Open,2/10/2025,ef8afc3ae3631325c8530e3913a549f1df3f558b504c89775ef5cd9100705758,North,Marine Ecology Studies,Cash,,Inv-5486,,,
similar vendor,  Low,3000,Multiple,1200,600,All Open,3/27/2025,1d7342dca25c23a997e84ddb862365ebb55ecb4924ef1562ad59562a1883bbf6,West,Market Analysis Report,PayPal,,Inv-8485,,,
similar region,  Low,3000,?? ??,1200,600,All Open,3/15/2025,3998f64727864062d9ffb2d1bb261bad8477d2960df0e1d235c7cd3d30a36c06,South,Marketing Research Services,PayPal,,Inv-7197,,,
similar value,  Low,3000,WCB - Alberta,1200,600,All Open,2/7/2025,3a24074be37ff184cfe7542b7e9390081b6fbd78c762b84c826472de8c05adda,West,Mechanical Design Services,Credit Card,,Inv-4482,,,
exact,  Low,3000,WCB - British Columbia,1200,600,All Open,2/20/2025,5c0d666e0994b6cd425fad7e479c427c3436bd19d3a25b953bcadda35c52bd1d,North,Natural Resource Management,PayPal,,Inv-873,,,
unique,  Low,3000,Multiple,1200,600,All Open,2/5/2025,6b2e9bfe809178c65f39faecf48e0db2ceea5c86b74fc627619089119e323fff,East,Noise Level Assessment,Cash,,Inv-896,,,
similar special_instructions,  Low,3000,Multiple,1200,600,All Open,2/27/2025,77f73f3080b91c4b51db8ecda2f1d8f63b334a12e9b5494985a5ab2bdaa523fd,South,Oceanography Consultation,Bank Transfer,,Inv-8964,,,
exact,  Low,3000,Multiple,1200,600,All Open,1/30/2025,c214c946be9a4cdc39d104e61bb8dc6a8b9398735bc138426444038946fadd06,East,Offshore Drilling Safety,PayPal,,Inv-4067,,,
similar payment_method,  Low,3000,WCB - British Columbia,1200,600,All Open,1/31/2025,d863abd4af929d712c58ce1f79775d60e5c7707cfb9aa3e0f2ed165883c365ea,East,Organic Farming Certification,Cash,,Inv-8212,,,
similar date,  Low,3000,Multiple,1200,600,All Open,2/9/2025,e17dfe51bfd90e37cfb4449b1a748c7eef772b2e177ac4f1fb90b6f5f94411b2,North,Permaculture Design,Cash,,Inv-6023,,,
similar special_instructions,  Low,3000,WCB - Quebec,1200,600,All Open,3/8/2025,e1e686ec93b73eedc646db2449435a59586a893d9ed92b119a11cffc81a02384,East,Pest Control Services,Bank Transfer,,Inv-8167,,,
similar description,  Low,3000,Manhattan Corporation,1200,600,All Open,3/11/2025,f0d06ff85b4638350304007d4b0e7c69ecb47a4757bf37127f19e642bc7029a2,East,Photography Session Fees,Cash,,Inv-8060,,,
similar vendor,  Low,3000,WCB - Alberta,1200,600,All Open,3/19/2025,f80c3a688c351bb7ab2f7e9bc26938cee4c00b57210787a08c146df4532cce2b,West,Pollution Control Equipment,Bank Transfer,,Inv-6993,,,
similar date,  Low,3000,Multiple,1200,600,All Open,3/26/2025,fa2a18d0a19babeae03759e01d0a64e505e24c776d44cbec6186894d8cc5bea8,West,Poultry Farm Management,PayPal,Interpretation services fees are included,Inv-1256,,,
similar description,  Low,3000,Phoenix Supplies,1120.899041,520.8990411,Open/Cleared,1/21/2025,0350ca3ee908d8db091561ddbaa03284faa9c76bac8f63df4a1d789b3c550f2f,South,Product Development Services,Bank Transfer,,Inv-1949,,,
similar special_instructions,  Low,3000,?????????,1120.899041,520.8990411,All Open,3/9/2025,042c8cd710641dabca05c6e52e4662f6ebe5a3e6e28d7e96d30343069ed9d012,North,Prototype Design Services,Credit Card,Notary fees are included,Inv-241,,,
similar date,  Low,3000,Global Business Properties,1120.899041,520.8990411,Open/Cleared,3/15/2025,0c2c2739b68fb0ea50582302bc50273da666ba70447613c3e293bf517dda0854,East,Recycling Program Setup,PayPal,,Inv-804,,,
similar value,  Low,3000,Revenue Quebec,1120.899041,520.8990411,All Open,2/28/2025,116c8261450f4eddf0033f9cfa6951ed5deac7fcc1b3e98b2905861f7a832a78,East,Regenerative Agriculture Consultation,Bank Transfer,Certification fees are included,Inv-7655,,,
similar value,  Low,3000,Global Business Properties,1120.899041,520.8990411,Open/Cleared,3/15/2025,126c4629d4f631fbd5c50063c45a091b434bac1a673b5737dfa738f713742500,West,Renewable Energy Solutions,PayPal,,Inv-9809,,,
unique,  Low,3000,Anja Müller,1120.899041,520.8990411,All Open,2/15/2025,1296711a5f5765386bad8352a2cbf3c72048e4d8a1b700318bd58d0f10a090ee,West,River Basin Management,Cash,Compliance audit fees are included,Inv-4664,,,
similar vendor,  Low,3000,State of Illinois,1120.899041,520.8990411,All Open,3/17/2025,145c6f0b8d2e60b659dc1c76b297db8c3a7aa1d9133a11e65150a564160fcba6,South,Rooftop Garden Design,PayPal,,Inv-6912,,,
unique,  Low,3000,WCB - Quebec,1120.899041,520.8990411,All Open,2/3/2025,1d2e7c0b011de681332fe9b40dfbdf912d802d573c03ad2d5e90c435680e97b4,South,Sea Level Rise Impact Study,PayPal,,Inv-6500,,,
similar reference,  Low,3000,Internal revenue service,1120.899041,520.8990411,All Open,2/4/2025,22ffd5fd4eaebc21c344ffa2445cd449a3bdbac5a9b6826f6ad9b31bd792b4f0,South,Soil Erosion Control,Credit Card,,Inv-3747,,,
similar payment_method,  Low,3000,Phunix GmbH,1120.899041,520.8990411,All Open,3/29/2025,23c4908c579b8843e4ab3dd47e99c10907a2a9a93bfef70c5241b4251235766b,North,Soil Fertility Testing,Bank Transfer,,Inv-9871,,,
similar payment_method,  Low,3000,WCB - Ontario,1120.899041,520.8990411,All Open,3/5/2025,2a41814ad0b610d09a6042128cfd406e921d4b9922429778bbde541d147825e2,East,Soil Testing Services,Bank Transfer,,Inv-8598,,,
similar reference,  Low,3000,WCB - Alberta,1120.899041,520.8990411,All Open,3/17/2025,414987326ebe636294d624c781c51cb679a4b6313d69f025f3eec17457667004,North,Solar Panel Installation,Bank Transfer,,Inv-3596,,,
similar vendor,  Low,3000,Acme Corportion,1120.899041,520.8990411,All Open,1/9/2025,4c2d209a04eeace8e4d81a700e7a85fb27c2e5aa3db6e6033ad9207bdf7b7f77,West,Stormwater Management,Credit Card,,Inv-1254,,,
similar description,  Low,3000,Revenue Quebec,1120.899041,520.8990411,All Open,1/5/2025,4d41567d0f3589315b2e7e191db6adaece048f5fed973f0e9d42f92a1f7ade94,East,Structural Analysis Services,PayPal,,Inv-9006,,,
similar value,  Low,3000,Versicherungen ABC,1120.899041,520.8990411,All Open,1/8/2025,5e252045c6315fb0298eaddc300e665751409c90f193fa247e94e615823bde20,North,Sustainability Consulting,Cash,,Inv-4656,,,
unique,  Low,3000,Phoenix Supplies,1120.899041,520.8990411,All Cleared,1/8/2025,66bb15023b529eee0f9f1447cb0f84b6a83a73d9de24f2a6f2098db4e95ffe8c,North,Sustainable Fishing Programs,PayPal,,Inv-3856,,,
similar vendor,  Low,3000,"eSupplier, Inc",1120.899041,520.8990411,All Open,4/10/2025,98c82110b6976fa2ee70b374a6860cb06f4600fd84c6b57114af84fdbde44ae7,South,Sustainable Land Management,PayPal,Replacement Policy: Replacement policy is attached,Inv-1502,,,
similar date,  Low,3000,kneifelinchen Sibylle,1120.899041,520.8990411,All Open,1/10/2025,9bb9d9112da9d61b86971c028c41aa73bd7379e0129385eb827c6cf0a12e9c7f,South,Urban Agriculture Initiatives,Credit Card,,Inv-665,,,
unique,  Low,3000,Infix Corporation,1120.899041,520.8990411,All Cleared,4/4/2025,a2fb979642037995befbb94ef0d286470779bebaa5eced0baa9253dc2dd55cc3,East,Urban Green Infrastructure,Cash,Refund Policy: Refund policy is attached,Inv-457,,,
similar value,  Low,3000,Revenue Quebec,1120.899041,520.8990411,All Open,2/12/2025,a616c3ec8c08a5009fc2d749a6a2ba2f3ad2d3ede987b3099ea5a7b0a163ede7,North,Urban Planning Services,PayPal,,Inv-2939,,,
similar vendor,  Low,3000,Global Business Properties,1120.899041,520.8990411,All Cleared,4/10/2025,b275adb85333247f69e829be66167a73c91561797fa564704e8ac27129518d18,East,User Experience (UX) Design,PayPal,Compliance Fees: Compliance fees are included,Inv-8377,,,
similar payment_method,  Low,3000,Canada Customs & Revenue Agency,1120.899041,520.8990411,All Open,2/9/2025,b40e093ba5de1a6e664c37daeaff2d8c8c5a876b844123bdd95931f5d52d6dac,West,User Interface (UI) Design,Cash,,Inv-4644,,,
similar vendor,  Low,3000,Miller Company Inc.,1120.899041,520.8990411,All Open,1/8/2025,bffa782eb21a678418b4ef958c255953789466ad5bdd82df4b9c7345bdda1aba,South,Veterinary Services,Bank Transfer,Service Rates: Service rates are subject to change,Inv-1350,,,
similar region,  Low,3000,Acme Corportion,1120.899041,520.8990411,All Open,1/11/2025,c2f2a3538a5c2f137f17455f7f774ef1d96598ef2df5bfb58bae5e63f985ac8a,North,Video Production Services,Bank Transfer,,Inv-1904,,,
similar date,  Low,3000,WCB - British Columbia,1120.899041,520.8990411,All Open,3/13/2025,c8ecefbea76b270a4ffb6633d0963a7bfdbdc0eda3f7787e79bf08ccd0405d65,North,Waste Management Services,Cash,,Inv-6968,,,
similar reference,  Low,3000,"eSupplier, Inc",1120.899041,520.8990411,All Open,4/6/2025,ca4d6fdc070c79b4f6953660d1f769cf89c32920cd6f267c5c1812eb6d03d190,South,Water Resource Management,Cash,,Inv-6865,,,
similar description,  Low,3000,Wilhelm Klein,1120.899041,520.8990411,All Open,4/10/2025,dc8a037954da866889a0ec6c6c914bd85df72faa067cef239ab63cc410c69c63,North,Water Treatment Solutions,Credit Card,,Inv-4238,,,
similar description,  Low,3000,Proveedor 1,1120.899041,520.8990411,Open/Cleared,1/18/2025,e4b2cf29580dad825d1533e06d50c6c0f0dded03ceacaafc170becca92f4106c,North,Wetland Restoration,Bank Transfer,,Inv-3672,,,
unique,  Low,3000,Revenue Quebec,1120.899041,520.8990411,All Open,3/4/2025,e88de73d0fec170e5c8f1b62f7069e6cdb1ec61265d9dc070db627a6aa46f034,South,Wildlife Habitat Restoration,Bank Transfer,,Inv-3570,,,
similar value,  Low,3000,"eSupplier, Inc",1120.899041,520.8990411,All Open,3/11/2025,f644bd2d65bf8a087ae48fd5a81121baf11584dc7763a19c85f0c62b9a929369,East,Wind Turbine Maintenance,Cash,,Inv-7186,,,
similar reference,  Low,3000,Manhattan Corp.,1041.798082,520.8990411,All Open,1/27/2025,cbd4528539da93ed4ca58100ff167b8380a194f2567a4f0862b0df33752d4e80,West,Many paper clips,PayPal,,Inv-3281,,,
similar special_instructions,High,3000,Acme Corportion,17281.43596,8613.119279,All Open,4/1/2025,dd1d3dd8183f13ece175a6510a820e74ed329955d22a1432f7dc8661e5ce0c1f,East,Accounting Services,Bank Transfer,Payment due within 30 daysof invoice date,Inv-241,,,
similar special_instructions,High,3000,Acme Corportion,17281.43596,8613.119279,All Open,4/1/2025,dd1d3dd8183f13ece175a6510a820e74ed329955d22a1432f7dc8661e5ce0c1f,East,Accounting Services,Bank Transfer,Paymewt due within 30 days of invoice date,Inv-241,,,
similar special_instructions,High,3000,Destec Office Supplies,14477.75737,7215.500918,All Open,1/29/2025,aa61e1bb21f337e37a6281eccbab741687c7e564991bc4af0f02f4999bf98338,North,Animation and Motion Graphics,Cash,,Inv-10,,,
similar vendor,High,3000,Global BusinessProperties,14250.53154,7114.410041,All Cleared,1/28/2025,2fe2d39a7abda76e4ddfe8a231a280a42887a841a1494f14dd7e300397f59947,East,Audio Editing Services,PayPal,"We accept credit cards, PayPal, and bank transfers",Inv-6254,,,
similar vendor,High,3000,Globaal Business Properties,14250.53154,7114.410041,All Cleared,1/28/2025,2fe2d39a7abda76e4ddfe8a231a280a42887a841a1494f14dd7e300397f59947,East,Audio Editing Services,PayPal,"We accept credit cards, PayPal, and bank transfers",Inv-6254,,,
similar vendor,High,3000,Global Businzss Properties,14250.53154,7114.410041,All Cleared,1/28/2025,2fe2d39a7abda76e4ddfe8a231a280a42887a841a1494f14dd7e300397f59947,East,Audio Editing Services,PayPal,"We accept credit cards, PayPal, and bank transfers",Inv-6254,,,
similar payment_method,High,3000,AluCast,13652.82429,6826.412144,All Open,1/3/2025,a9eeaef204585c93c03e566eb01a56f5ac031ec8c6652046942959e7aa7c4274,East,Blog Post Writing,Banv Transfer,,Inv-2576,,,
similar payment_method,High,3000,AluCast,13652.82429,6826.412144,All Open,1/3/2025,a9eeaef204585c93c03e566eb01a56f5ac031ec8c6652046942959e7aa7c4274,East,Blog Post Writing,Bank Transwer,,Inv-2576,,,
similar payment_method,High,3000,AluCast,13652.82429,6826.412144,All Open,1/3/2025,a9eeaef204585c93c03e566eb01a56f5ac031ec8c6652046942959e7aa7c4274,East,Blog Post Writing,Bank aransfer,,Inv-2576,,,
similar vendor,High,3000,Manhattan Corporatgon,13235.88834,6604.413433,All Open,2/15/2025,177201473d296660a17f3ab1e2937d23f7f19dd5138b1a71119b496e14fabd9a,South,Bookkeeping Services,Bank Transfer,A late fee of 2% will be applied to overdue invoices,Inv-7520,,,
similar reference,High,3000,Global Business Properties,13218.69712,6604.413433,All Cleared,1/22/2025,6209990067dc91a734efc8bd55d1083405631a13a8f189933ede7a1b756b4819,East,Brand Identity Development,PayPal,,Inv-566,,,
similar reference,High,3000,Global Business Properties,13218.69712,6604.413433,All Cleared,1/22/2025,6209990067dc91a734efc8bd55d1083405631a13a8f189933ede7a1b756b4819,East,Brand Identity Development,PayPal,,In-5665,,,
similar reference,High,3000,Global Business Properties,13218.69712,6604.413433,All Cleared,1/22/2025,6209990067dc91a734efc8bd55d1083405631a13a8f189933ede7a1b756b4819,East,Brand Identity Development,PayPal,,Invf5665,,,
similar reference,High,3000,Global Business Properties,13218.69712,6604.413433,All Cleared,1/22/2025,6209990067dc91a734efc8bd55d1083405631a13a8f189933ede7a1b756b4819,East,Brand Identity Development,PayPal,,znv-5665,,,
similar description,High,3000,State of California,13208.82687,6604.413433,All Cleared,3/21/2025,8a8d5ae602202a32e028382502c105bb9f93b777457ca5734ef2a55402223d3f,West,Business Card Deesign,Bank Transfer,A 5% discount will be applied if payment is received within 10 days,Inv-4960,,,
similar reference,High,3000,Enigma,13208.82687,6604.413433,All Open,3/25/2025,9ac62da41201f3036c312a229d9af97b3fa6c9491385ba8791ea6220285d092e,West,Catering Services,Credit Card,,Inv-15660,,,
similar description,High,3000,IOT Furnitures Inc.,13208.82687,6604.413433,All Open,3/17/2025,9e2baecc878ccb0a96ba4339bcbbf28ae2afa1b81f3764af50acac7f69436065,South,Cloud Stoeage Services,Bank Transfer,Partial payments are not accepted,Inv-2201,,,
similar description,High,3000,IOT Furnitures Inc.,13208.82687,6604.413433,All Open,3/17/2025,9e2baecc878ccb0a96ba4339bcbbf28ae2afa1b81f3764af50acac7f69436065,South,Cloud Storage Serviices,Bank Transfer,Partial payments are not accepted,Inv-2201,,,
similar description,High,3000,IOT Furnitures Inc.,13208.82687,6604.413433,All Open,3/17/2025,9e2baecc878ccb0a96ba4339bcbbf28ae2afa1b81f3764af50acac7f69436065,South,Cloud Storagge Services,Bank Transfer,Partial payments are not accepted,Inv-2201,,,
similar description,High,3000,IOT Furnitures Inc.,13208.82687,6604.413433,All Open,3/17/2025,9e2baecc878ccb0a96ba4339bcbbf28ae2afa1b81f3764af50acac7f69436065,South,Cloud Stjrage Services,Bank Transfer,Partial payments are not accepted,Inv-2201,,,
similar description,High,3000,Global Business Properties,10859.34378,5429.671888,All Cleared,1/11/2025,3ae5b19769e423bfeb23ee24ec288a33e620085b4d02bf9bc1970c13e2c329c7,South,Conference Feees,PayPal,,Inv-9035,,,
similar description,High,3000,Global Business Properties,10859.34378,5429.671888,All Cleared,1/11/2025,3ae5b19769e423bfeb23ee24ec288a33e620085b4d02bf9bc1970c13e2c329c7,South,Conferene Fees,PayPal,,Inv-9035,,,
similar description,High,3000,Global Business Properties,10859.34378,5429.671888,All Cleared,1/11/2025,3ae5b19769e423bfeb23ee24ec288a33e620085b4d02bf9bc1970c13e2c329c7,South,ConferenceFees,PayPal,,Inv-9035,,,
similar description,High,3000,Global Business Properties,10859.34378,5429.671888,All Cleared,1/11/2025,3ae5b19769e423bfeb23ee24ec288a33e620085b4d02bf9bc1970c13e2c329c7,South,Conferenc Fees,PayPal,,Inv-9035,,,
similar description,High,3000,Global Business Properties,10859.34378,5429.671888,All Cleared,1/11/2025,3ae5b19769e423bfeb23ee24ec288a33e620085b4d02bf9bc1970c13e2c329c7,South,Conference Fnes,PayPal,,Inv-9035,,,
similar special_instructions,High,3000,Global Business Properties,2574.727759,1716.485173,All Cleared,1/11/2025,58c74386c1489a534c4749300abb1e90be2b577e275b8766e467349cde83bfcf,West,Conflict Resolution Services,Bank Transfer,,Inv-2975,,,
similar payment_method,High,3000,Multiple,1800,1200,All Open,3/30/2025,16a05200dda84a6df12d1ddf3a28a496cc4e67faa918e62a0135beeab4335810,West,Consultation Fees,Cassh,All products come with a one-year warranty,Inv-7253,,,
similar payment_method,High,3000,Multiple,1800,1200,All Open,3/30/2025,16a05200dda84a6df12d1ddf3a28a496cc4e67faa918e62a0135beeab4335810,West,Consultation Fees,Cah,All products come with a one-year warranty,Inv-7253,,,
similar payment_method,High,3000,Multiple,1800,1200,All Open,3/30/2025,16a05200dda84a6df12d1ddf3a28a496cc4e67faa918e62a0135beeab4335810,West,Consultation Fees,Cgsh,All products come with a one-year warranty,Inv-7253,,,
similar payment_method,High,3000,Multiple,1800,1200,All Open,3/30/2025,16a05200dda84a6df12d1ddf3a28a496cc4e67faa918e62a0135beeab4335810,West,Consultation Fees,Casn,All products come with a one-year warranty,Inv-7253,,,
similar payment_method,High,3000,Global Business Properties,1800,1200,All Cleared,2/16/2025,21dbf894460e0c4aea69dbf77f82fb8027da01b7abd156e8cf2a8daf5ab0a888,East,Content Creation Services,ash,,Inv-7029,,,
similar value,High,3000,Global Business Properties,18000,1200,All Cleared,2/15/2025,31390a51f0ccf3b0102ae3eda6f9543f82883d6219bca3f1f61d8c517f892270,North,Contract Drafting Services,Bank Transfer,Free shipping on orders over $50,Inv-314,,,
similar value,High,3000,Global Business Properties,18i0,1200,All Cleared,2/15/2025,31390a51f0ccf3b0102ae3eda6f9543f82883d6219bca3f1f61d8c517f892270,North,Contract Drafting Services,Bank Transfer,Free shipping on orders over $50,Inv-314,,,
similar value,High,3000,Global Business Properties,18000,1200,All Cleared,2/15/2025,31390a51f0ccf3b0102ae3eda6f9543f82883d6219bca3f1f61d8c517f892270,North,Contract Drafting Services,Bank Transfer,Free shipping on orders over $50,Inv-314,,,
similar value,High,3000,Global Business Properties,11800,1200,All Cleared,2/15/2025,31390a51f0ccf3b0102ae3eda6f9543f82883d6219bca3f1f61d8c517f892270,North,Contract Drafting Services,Bank Transfer,Free shipping on orders over $50,Inv-314,,,
similar value,High,3000,Global Business Properties,11800,1200,All Cleared,2/15/2025,31390a51f0ccf3b0102ae3eda6f9543f82883d6219bca3f1f61d8c517f892270,North,Contract Drafting Services,Bank Transfer,Free shipping on orders over $50,Inv-314,,,
similar special_instructions,High,3000,Meyers Real Estate AG,1800,1200,All Open,4/4/2025,339f6269bfc11f79dca65cf3df894ba57e26ab8d68e112a3f411180ef62ec39d,West,Copywriting Services,Cash,,Inv-7078,,,
similar special_instructions,High,3000,Meyers Real Estate AG,1800,1200,All Open,4/4/2025,339f6269bfc11f79dca65cf3df894ba57e26ab8d68e112a3f411180ef62ec39d,West,Copywriting Services,Cash,,Inv-7078,,,
similar description,High,3000,Global Business Properties,1800,1200,All Cleared,2/11/2025,38531ba18c1265e6947f48568676ffbbaeee5cd962fed9369dd21839297e2548,South,Crisis Management Servces,Credit Card,Sales tax has been included in the total amount,Inv-621,,,
similar description,High,3000,Global Business Properties,1800,1200,All Cleared,2/11/2025,38531ba18c1265e6947f48568676ffbbaeee5cd962fed9369dd21839297e2548,South,Criis Management Services,Credit Card,Sales tax has been included in the total amount,Inv-621,,,
